대학명,모집단위,유형,전형명,기준,컷70,연도,모집인원27,경쟁률26
가톨릭대(성심),미디어기술콘텐츠학과,논술,논술(논술전형),최저(최종),3.92,2025,4,17
가톨릭대(성심),바이오메디컬소프트웨어학과,논술,논술(논술전형),최저(최종),5.62,2025,4,13.25
가톨릭대(성심),바이오메디컬화학공학과,논술,논술(논술전형),최저(최종),4.46,2025,5,12.2
가톨릭대(성심),생명공학과,논술,논술(논술전형),최저(최종),5.65,2025,3,12.33
가톨릭대(성심),수학과,논술,논술(논술전형),최저(최종),5.13,2025,3,16.33
가톨릭대(성심),식품영양학과,논술,논술(논술전형),최저(최종),5.00,2025,3,13.67
가톨릭대(성심),약학과,논술,논술(논술전형),최저(최종),4.25,2025,7,160.25
가톨릭대(성심),에너지환경공학과,논술,논술(논술전형),최저(최종),3.00,2025,3,10.67
가톨릭대(성심),의류학과,논술,논술(논술전형),최저(최종),6.16,2025,4,14.75
가톨릭대(성심),의생명과학과,논술,논술(논술전형),최저(최종),4.49,2025,5,14
가톨릭대(성심),인공지능학과,논술,논술(논술전형),최저(최종),5.62,2025,5,15
가톨릭대(성심),정보통신전자공학부,논술,논술(논술전형),최저(최종),4.51,2025,5,14.6
가톨릭대(성심),컴퓨터정보공학부,논술,논술(논술전형),최저(최종),4.50,2025,5,17
가톨릭대(성심),화학과,논술,논술(논술전형),최저(최종),4.00,2025,3,11.67
가톨릭대(성심),경영학과,교과,학생부교과(지역균형전형),70%컷(최종),2.51,2026,5,6.6
가톨릭대(성심),경제학과,교과,학생부교과(지역균형전형),70%컷(최종),2.86,2026,5,15.6
가톨릭대(성심),국사학과,교과,학생부교과(지역균형전형),70%컷(최종),2.78,2026,5,12.6
가톨릭대(성심),국어국문학과,교과,학생부교과(지역균형전형),70%컷(최종),2.92,2026,5,6.4
가톨릭대(성심),국제학부,교과,학생부교과(지역균형전형),70%컷(최종),2.92,2026,7,6.2
가톨릭대(성심),법학과,교과,학생부교과(지역균형전형),70%컷(최종),2.6,2026,5,6
가톨릭대(성심),사회복지학과,교과,학생부교과(지역균형전형),70%컷(최종),2.74,2026,5,6
가톨릭대(성심),사회학과,교과,학생부교과(지역균형전형),70%컷(최종),2.53,2026,5,6.2
가톨릭대(성심),심리학과,교과,학생부교과(지역균형전형),70%컷(최종),2.42,2026,5,8.4
가톨릭대(성심),아동학과,교과,학생부교과(지역균형전형),70%컷(최종),2.75,2026,5,5
